,city,country,commitment_type,commitment,ghg_subtype,baseline_year,baseline_year_emissions,target_year,target_year_emissions,percent_reduction,emissions_reduction_by_target_year
100,"Taipei City Government, Chinese Taipei",Chinese Taipei,GHG emission reduction target," The Taipei City Government has committed to reduce its Community emissions by 50% by 2050 compared to 2005 emission level. The target is going to be reached by activities in Stationary energy, Transport, Agriculture, forest and other land use (AFOLU) and Waste management sectors.",Community,2005,1307.0,2050,653.0,,653.0
101,"Taipei City Government, Chinese Taipei",Chinese Taipei,Renewable energy target,The Taipei City Government committed to increase its Installed capacity of Renewable energy in Community to 6 MW by 2025Current Installed capacity of Renewable energy: 8. 8 MW 2019The target is going to be reached by activities in Electricity sector.,,,,,,,
102,"Taoyuan City Government, Chinese Taipei",Chinese Taipei,GHG emission reduction target," The Taoyuan City Government has committed to reduce its Local Government emissions by 50% by 2050 compared to 2005 emission level. The target is going to be reached by activities in Stationary energy, Industrial processes and product use (IPPU), Transport, Agriculture, forest and other land use (AFOLU) and Waste management sectors.",Local Government,2005,30474326.0,2050,15237163.0,,15237163.0
103,"Taoyuan City Government, Chinese Taipei",Chinese Taipei,Renewable energy target,The Taoyuan City Government committed to increase its share of renewable energy in final energy mix in Local Government by 0% by Current share of renewable energy in final energy mix: 30. 0% 2019The target is going to be reached by activities in Electricity and Industry sectors. The Taoyuan City Government committed to increase its share of renewable energy in final energy mix in Local Government by 0% by Current share of renewable energy in final energy mix: 30. 0% 2019The target is going to be reached by activities in Electricity and Industry sectors. The Taoyuan City Government committed to increase its Installed capacity of Renewable energy in Local Government to 0 MW by Current Installed capacity of Renewable energy: 30. 0 MW 2019The target is going to be reached by activities in Electricity sectors. The Taoyuan City Government committed to increase its Installed capacity of Renewable energy in Local Government to 0 MW by Current Installed capacity of Renewable energy: 30. 0 MW 2019The target is going to be reached by activities in Electricity sectors.,,,,,,,
104,"Capital District of Bogotá, Colombia",Colombia,GHG emission reduction target," The Capital District of Bogotá has committed to reduce its Community emissions by 56% by 2038 compared to Baseline scenario (BAU) reduction target emission level. The target is going to be reached by activities in Stationary energy, Transport, Waste management, Industrial processes and product use (IPPU) and Agriculture, forest and other land use (AFOLU) sectors.",Community,2008,,2038,,56.0,
105,"Capital District of Bogotá, Colombia",Colombia,Renewable energy target,The Capital District of Bogotá committed to increase its consumption of energy from renewable energy sources in Local Government by 0 MWh by Current consumption of energy from renewable energy source:  MWh The target is going to be reached by activities in Electricity and Institucional sector.,,,,,,,
106,"Capital District of Bogotá, Colombia",Colombia,Energy efficiency target,0% Energy efficiency improvement by The Capital District of Bogotá committed to increase its energy efficiency in Primary energy and Local Government energy consumption by 0% by  compared to 2008 levels. This target will be achieved in Electricity and Transport sectors,,,,,,,
107,"City of Bucaramanga, Colombia",Colombia,GHG emission reduction target, The City of Bucaramanga has committed to reduce its Community emissions by 30% by 2022 compared to 2012 emission level.,Community,2012,,2022,,30.0,
108,"City of Bucaramanga, Colombia",Colombia,GHG emission reduction target, The City of Bucaramanga has committed to reduce its Local Government emissions by 50% by 2022 compared to 2012 emission level.,Local Government,2012,,2022,,50.0,
109,"City of San Jerónimo de Montería, Colombia",Colombia,GHG emission reduction target, The City of San Jerónimo de Montería has committed to reduce its Community emissions by 20tCO2e by 2019.,Community,2009,,2019,,11.0,
110,"City of San Jerónimo de Montería, Colombia",Colombia,Renewable energy target,The City of San Jerónimo de Montería committed to increase its consumption of energy from renewable energy sources in Local Government by 1 MWh by 2019Current consumption of energy from renewable energy source:  MWh The target is going to be reached by activities in Electricity sectors.,,,,,,,
111,"City of San Jerónimo de Montería, Colombia",Colombia,Energy efficiency target,40% Energy efficiency improvement by 2016The City of San Jerónimo de Montería committed to increase its energy efficiency in Final energy and Local Government energy consumption by 40% by 2016 compared to 2009 levels. Final energy energy consumption: 10. 94 MwhThis target will be achieved in Electricity sectors,,,,,,,
112,"Municipality of Cartago, Colombia",Colombia,Renewable energy target,98% Energy efficiency improvement by 2016The Municipality of Cartago committed to increase its energy efficiency in Primary energy and Local Government energy consumption by 98% by 2016 compared to 2016 levels. Primary energy energy consumption: 0. 1 MwhThis target will be achieved in Electricity and Transport sectors,,,,,,,
113,"Municipality of Pasto, Colombia",Colombia,Renewable energy target,0% Energy efficiency improvement by 2016The Municipality of Pasto committed to increase its energy efficiency in Final energy and Community energy consumption by 0% by 2016 compared to 2013 levels. Final energy energy consumption: 16. 359 MwhThis target will be achieved in Electricity sectors,,,,,,,
114,"Municipality of Santiago de Cali, Colombia",Colombia,GHG emission reduction target, The Municipality of Santiago de Cali has committed to reduce its Local Government emissions by 5211542% by 2017 compared to Baseline scenario (BAU) reduction target emission level. The target is going to be reached by activities in Transport sector.,Local Government,2016,,2017,,5211542.0,
115,"City of Copenhagen, Denmark",Denmark,GHG emission reduction target, The City of Copenhagen has committed to reduce its Community emissions by 100% by 2025 compared to 2005 emission level.,Community,2005,,2025,,100.0,
116,"Municipality of Santa Cruz, Ecuador",Ecuador,Renewable energy target,The Municipality of Santa Cruz committed to increase its share of renewable energy in final energy mix in Community by 10% by 2018The target is going to be reached by activities in Electricity sector.,,,,,,,
117,"Municipality of Santa Cruz, Ecuador",Ecuador,Energy efficiency target,10% Energy efficiency improvement by 2018The Municipality of Santa Cruz committed to increase its energy efficiency in Final energy and Community energy consumption by 10% by 2018 compared to 2016 levels. Final energy energy consumption: 1961. 0 MwhThis target will be achieved in Electricity sectors,,,,,,,
118,"Municipality of the Metropolitan District of Quito, Ecuador",Ecuador,GHG emission reduction target," The Municipality of the Metropolitan District of Quito has committed to reduce its Community emissions by 5% by 2025 compared to Baseline scenario (BAU) reduction target emission level. The target is going to be reached by activities in Stationary energy, Transport, Waste management, Industrial processes and product use (IPPU) and Agriculture, forest and other land use (AFOLU) sectors.",Community,2011,5164945.0,2025,5164945.0,,258247.0
119,"Municipality of the Metropolitan District of Quito, Ecuador",Ecuador,Renewable energy target,The Municipality of the Metropolitan District of Quito committed to increase its share of renewable energy in final energy mix in Community by 0% by 2036The target is going to be reached by activities in Electricity sectors.  The Municipality of the Metropolitan District of Quito committed to increase its share of renewable energy in final energy mix in Local Government by 2% by 2045The target is going to be reached by activities in Electricity sector.,,,,,,,
120,"City of Helsinki, Finland",Finland,GHG emission reduction target," The City of Helsinki has committed to reduce its Community emissions by 30% by 2020 compared to 1990 emission level. The target is going to be reached by activities in Stationary energy, Transport and Waste management sectors.",Community,1990,3616000.0,2020,2531200.0,,1084800.0
