Official Name,City,Country,Constituency,Phone,Fax,Email,Coordinator
"Association Dar Si Hmad for Developpement, Education and Culture (DSH)",Agadir,Morocco,Constituency - Environmental,(212) 528 843 065,(212) 528 843 065,dar@darsihmad.org,Mme Jamila Bargach
Association de recherche sur le climat et l'environnement (ARCE),Oran,Algeria,Constituency - Environmental,(213-772) 41-1375,(213-41) 53-8397,arce21@wissal.dz,Mr. Salah Sahabi Abed
Association Democratique des Femmes du Maroc (ADFM),Casablanca,Morocco,Constituency - Women and Gender,00212661474839/00212522205152,00212522204581,d_loudyi@yahoo.co.uk,Ms. Dalila Loudyi
Association des Amis de la Nature (ANA-Rwanda),Kigali,Rwanda,Constituency - Environmental,+250786012918,,majorodon@hotmail.com,Mr. Donath Kwitonda
Association des Amis de la Nature (ANN),Bururi,Burundi,Constituency - Environmental,+256 780666780,,sabushimikemamert@gmail.com,Mr. Mamert Sabushimike
Association des amis de la Saoura (AAS),Béchar,Algeria,Constituency - Environmental CAN,(213-49)81-1390/(213-06)26-7216,(213-49)81-7313,amisaoura@hotmail.com,M. Mohammed Bendada
Association des amis de Tamchekett,Nouakchott,Mauritania,Constituency - Environmental,(222)525-4780,(222)525-4780,,Mr. Adbi El Wakef
Association des clubs des amis de la nature du Cameroun (ACAN),Douala,Cameroon,Constituency - Environmental,(237) 953-1876,(237) 3342-7703,ecoalert@yahoo.fr,Mr. Raphaël Hanmbock
Association des communautés urbaines de France (ACUF),Paris,France,Constituency - Local government and Municipal authorities,+33 144 393456,,franceurbaine@franceurbaine.org,M. Philippe Angotti
Association des constructeurs européens d'automobiles (ACEA),Brussels,Belgium,Constituency - Business and Industry,(32-2) 732-5550,(32-2) 738-7310,info@acea.be,Ms. Sigrid de Vries
Association des Distributeurs Conditionneurs Récupérateurs Retraiteurs de Réfrigérants (ADC3R),Puteaux,France,Constituency - Business and Industry2,+33616674214,,contact@adc3r.com,Mr. Laurent Guégan
Association des Enseignants des Sciences de la Vie et de la Terre (AESVT),Casablanca,Morocco,Constituency - Environmental,(212) 5 2350 8904,,ksiri.abderrahim2@gmail.com,Mr. Mohamed Chaouki
Association des Femmes Peules et Peuples Autochtones du Tchad (AFPAT),N'Djamena,Chad,Constituency - Indigenous peoples,+23566292519,,hindououmar@gmail.com,Ms. Hindou Oumarou Ibrahim
Association des Ingénieurs de l'Ecole Mohammadia (AIEM),Rabat,Morocco,Constituency - ENGO,00 212 537 77 00 14,00 212 537 77 00 14,contact@aiem.ma,Ms. Asmae Eloufir
Association des jeunes pour le développement du Ouaddai (A.J.D.O),Ndjamena,Chad,Constituency - Environmental,00235 66431059/ 66335603/ 66546577,,associationjdo1@gmail.com,Mr. Saleh Souleymane Abdoulaye
Association des maires de France (AMF),Paris,France,Constituency - Local government and Municipal authorities,,,gwenola.stephan@amf.asso.fr,Ms. Gwenola Rabier Stephan
Association des Populations des Montagnes du Monde (APMM),Paris,France,Constituency - Indigenous peoples,(33) 1.42.93.86.60,,contact@apmm-wmpa.org,Mr. Thibault Plassart
Association des Regions de France (ARF),Paris,France,Constituency - Local government and Municipal authorities,+33145558248,,direction.generale.arf@arf-regions.org,M. Guilhem Isaac-Georges
Association des Scientifiques Environnementalistes pour un Développement Intégré (ASEDI),Lome,Togo,Constituency - Environmental,+228 90 95 11 76,,ong.asedi@gmail.com,Mr. Mohamed-Awali Ouro-Djeri Djobo
Association du Gharb pour la Protection de l'Environnement (AGPE),Kenitra,Morocco,Constituency - Environmental,212 667038692,,benyakhlef_ke@yahoo.fr,Mr. Mohammed Benyakhlef
Association écologique pour la protection de l'environnement de la faune et la flore de la Wilaya de Bechar (AEPEFF),Bechar,Algeria,Constituency - Environmental,(213-49)83-0150,(213-49)83-0150,aepeff@yahoo.fr,M. Zoubir Benyoulef
"Association européene des expositions scientifique, techniques et industrielles (ECSITE)",Brussels,Belgium,Constituency - Research and independent,(32-2) 649-7383,(32-2) 637-5098,info@ecsite.net,Ms. Sheena Laursen
Association Femmes Bladi pour le Développement et le Tourisme (FBDT),Sefrou,Morocco,Constituency - Environmental,+212660433664/+212657220201,,femmesbladidt@yahoo.fr,Ms. Samia El Baouchi
Association for Sustainable Development MILIEUKONTAKT Macedonia (MKM),Skopje,North Macedonia,Constituency - Environmental,38922460876,38922460876,info@mkm.mk,Mr. Igor Slavkoski
Association Française des Entreprises pour l'Environnement (EpE),Paris,France,Constituency - Environmental,+33 1 49 70 98 50,,contact@epe-asso.org,Mr. David Laurent
Association française du froid (AFF),Paris,France,Constituency - Business and Industry,(33-1) 4544-5252,(33-1) 4222-0042,a.f.f@wanadoo.fr,M. Louis Lucas
Association Française Pour les Nations Unies - Aix-en-Provence (AFNU-Aix),Aix-en-Provence,France,Constituency - Research and independent,+33 4 86 91 42 57,+33 4 86 91 42 50,afnuaix@gmail.com,Ms. Marion Claire Eugénie Lemoine ep. Schonne
Association Internationale des maires et responsables des capitales et metropoles partiellement ou entièrement francophones (AIMF),Paris,France,Constituency - Local government and Municipal authorities,+33(0)44882288,+33(0)40390662,a.ardesi@aimf.asso.fr,Mme Julie Guillaume
Association internationale forêts méditerranéennes (AIFM),Marseille,France,Constituency - Environmental,(33-4) 9190-7670,(33-4) 9190-7162,info@aifm.org,M. Alain Chaudron
Association Internationale pour l'Etude de l'Economie de l'Assurance (The Geneva Association),Geneva,Switzerland,Constituency - Research and independent,+41 44 200 49 00,+41 44 20 49 99,secretariat@genevaassociation.org,Ms. Maryam Golnaraghi
Association Jeunesse Verte du Cameroun (AJVC),Yaounde,Cameroon,Constituency - Women and Gender,00237699846113,0023775384335,ajvc2010@gmail.com,Ms. Marie Tamoifo Nkom
Association La Voûte Nubienne (AVN),Carrieres Sur Seine,France,Constituency - Environmental,+33(0)467812105,,contact@lavoutenubienne.org,Mme Cécilia Rinaudo
Association Marocaine pour la Protection des Aires Marines et Développement Durable (AMP Maroc),Berrechid,Morocco,Constituency - Environmental,212 668819186,,loukili_a@yahoo.fr,Mr. Abdechahid Loukili
Association Maud Fontenoy France,Paris,France,Constituency - Environmental,,,veronique.meynier@orange.fr,Ms. Veronique Meynier
Association Nationale pour l'Evaluation Environnementale (ANEE),Kinshasa,Democratic Republic of the Congo,Constituency - Environmental,243851804936,,nicolasshuku@gamail.com,Mr. Nicolas Shuku Onemba
Association négaWatt,Alixan,France,Constituency - Research and independent,+33 6 64 52 63 42,,contact@negawatt.org,Mr. Stéphane Chatelin
Association Nodde Nooto (A2N),Dori,Burkina Faso,Constituency - Environmental,(226) 4046-0301,(226) 4046-0014,oumar.cisse7@hotmail.com,Mr. Oumarou Boureima Cisse
Association Noé 21 (noé21),Genéve,Switzerland,Constituency - Environmental,(41-22) 329-5136,,jerome@noe21.org,Mr. Jerome Strobel
Association of American Geographers (AAG),Washington,United States of America,Constituency - Research and independent,(1-202) 234-1450,(1-202) 234-2744,gaia@aag.org,Ms. Candida Livia Mannozzi
Association of Chambers of Agriculture (VLK),Berlin,Germany,Constituency - Business and Industry,(49-30) 3190-4512,(49-30) 3190-4520,m.kuegler@vlk-agrar.de,Mr. Michael Kügler
Association of Climate Change Officers (ACCO),Washington DC,United States of America,Constituency - Environmental,+1 202 496 7390,+1 202 496 7756,dkreeger@accoonline.org,Ms. Melissa Lembke
Association of Consulting Engineers (VBI),Berlin,Germany,Constituency - Business and Industry,(49-30) 26-0620,(49-30) 2606-2100,vbi@vbi.de,Mr. Clemens Marcel Kremer
Association of Former Diplomats of China,Beijing,China,Constituency - Research and independent,(86-10) 6523-6183,(86-10) 6523-6183,afdc_010432@sina.com,Mr. CHANGJIU WANG
Association of German Teachers in Geography (VDSG),Grevenbroich,Germany,Constituency - Environmental,(49-2182) 49-9237,(49-2182) 49-9237,neumann@erdkunde.com,Mr. Frank-Michael Czapek
Association of International Automobile Manufacturers of Canada (AIAMC),Toronto,Canada,Constituency - Business and Industry,(1-416)595-8251,(1-416)595-2864,auto@aiamc.com,Mr. David Adams
Association of Overseas Countries and Territories of the European Union (OCTA),Brussels,Belgium,Constituency - Local government and Municipal authorities,(32-2) 533 0860,(32-2) 538 4677,info@octa-bureau.eu,Mr. Nicolas Ferellec
"Association of Science - Technology Centers, Inc (ASTC)",Washington,United States of America,Constituency - Research and independent,(1-202) 783-7200,(1-202) 783-7207,wstaveloz@astc.org,Mr. Walter Staveloz
Association of Sustainable Ecological Engineering Development (ASEED),New Taipei City,China,Constituency - Environmental,(886-2) 8688 1019,(886-2) 8688 3258,aseed@aseed.org.tw,Mr. JuiWen Chen
Association pour l'Innovation et la Recherche au Service du Climat (AIR),Marseille,France,Constituency - Research and independent,+33(0)675869905,,aurore.aubail@air-climat.org,Ms. Aurore Aubail
Association pour la promotion et le développement international des éco-entreprises de France (Association PEXE),Paris,France,Constituency - Business and Industry,,,contact@pexe.fr,Ms. Florence Jasmin
Association pour la protection de la nature et de l'environnement (APNEK),Kairouan,Tunisia,Constituency - Research and independent,(216-77) 22-9668,(216-77) 22-9668,apnek.tunisia@yahoo.fr,M. Chakib Zouaghi
Association pour le développement durable (ADD),Quatre Bornes,Mauritius,Constituency - Environmental CAN,(230) 283-1849,(230) 283-1849,susdevmu@gmail.com,Mr. Sachooda Ragoonaden
Association pour UN Développement Durable (ADD),Nouakchott,Mauritania,Constituency - Environmental,(222)529-6552,(222)525-3534,atolbaadd@yahoo.com,Mr. Mohamed Abdallahi Ould Tolba
Association Québécoise de Lutte contre la Pollution Atmosphérique (AQLPA),St. Léon -de-Standon,Canada,Constituency - Environmental CAN,(1-418)642-1322,(1-418)642-1323,info@aqlpa.com,Mr. Alain Francois Brunel
Association Tunisie Mediterranée pour le développement durable,Tunis,Tunisia,Constituency - Environmental CAN,(216-1)88-6591,(216-1)88-6488,mistral@gnet.tn,
Association tunisienne des changements climatiques et du développement durable (2C2D),Tunis,Tunisia,Constituency - Environmental,(216) 98215255,(216) 71567551,zouhaierhlaoui@yahoo.fr,Mr. Zouhaier Hlaoui
Association Tunisienne pour la Maitrise de l'Energie (ATME),Tunis,Tunisia,Constituency - Environmental,00216 96926040,,atme@topnet.tn,Mme Ahlem Beji ep Sayeb
Atelier21,Paris,France,Constituency - Environmental,0648251856,,hello@atelier21.org,Mr. Cedric Carles
Ateneo de Manila University (ADMU),Quezon City,Philippines,Constituency - Research and independent,(63-2) 426-6001,(63-2) 426-6079,webmaster@admu.edu.ph,Mr. Antonio Gabriel La Viña
atmosfair gGmbH,Berlin,Germany,Constituency - Environmental,+49-30-12084800,+49-30-120848029,info@atmosfair.de,Ms. Cathleen Herrich
Aujourd'hui pour demain (APD),Kinshasa I,Democratic Republic of the Congo,Constituency - Environmental,(243) 991-4329,,isayadamuk@yahoo.fr,M. Gustave Muamba Kakumbula
Australian Aluminium Council (AAC),Barton,Australia,Constituency - Business and Industry,(61-2) 6267-1800,(61-2) 6267-1888,marghanita.johnson@aluminium.org.au,Ms. Marghanita Christelle Johnson
Australian Climate Coolers Limited - 1 Million Women,The Rocks,Australia,Constituency - Environmental,0292511652,,enquiries@1millionwomen.com.au,Ms. Natalie Isaacs
Australian Conservation Foundation (ACF),Carlton,Australia,Constituency - Environmental CAN,(61-3) 9345-1122,(61-3) 9345-1166,k.oshanassy@acfonline.org.au,Ms. Kelly-Ann O'Shanassy
Australian Council for International Development (ACFID),Canberra,Australia,Constituency - Business and Industry,(61-2) 6285-1816,(61-2) 6285-1720,acfid@acfid.asn.au,Ms. Beth Sargent
Australian Council of Trade Unions (ACTU),Melbourne,Australia,Constituency - Trade Unions,(61-3) 9664-7333,(61-3) 9600-0050,actu.international@actu.org.au,Ms. Gerardine Kearney
Australian Forest Products Association (AFPA),Deakin West,Australia,Constituency - Business and Industry,(61-2) 6285-3833,(61-2) 6285-3855,jo.angel@ausfpa.com.au,Ms. Jo Frances Angel
Australian Industry Greenhouse Network (AIGN),Kingston,Australia,Constituency - Business and Industry,(61-2) 6295-2166,(61-2) 6232-6075,admin@aign.net.au,Ms. Susan Smith
Australian Industry Group (AiGROUP),Sydney,Australia,Constituency - Business and Industry,(61-2) 9466-5566,(61-2) 9955-0907,peter.burn@aigroup.asn.au,Mr. Peter Burn
Australian Koala Foundation (AKF),Brisbane,Australia,Constituency - Environmental,(617) 3229-7233,(617) 3221-0337,dtabart@savethekoala.com,Ms. Deborah Tabart
Australian National University (ANU),Acton,Australia,Constituency - Research and independent,(61-2) 6125-2579,,vc@anu.edu.au,Mr. Mark Howden
Australian Plantation Products and Paper Industry Council Ltd. (A3P),ACT,Australia,Constituency - Business and Industry,(61-2) 6273-8111,(61-2) 6273-8011,info@a3p.asn.au,Ms. Kim Gregory
Australian Rainforest Conservation Society Inc. (ARCS),Milton,Australia,Constituency - Environmental,61733681318,,keith.scott@rainforest.org.au,Ms. Aila Keto
Australian Uranium Association (AUA),Melbourne,Australia,Constituency - Business and Industry,(61-3) 8616-0440,(61-3) 8616-0441,michael.angwin@aua.org.au,Mr. Michael Angwin
Australian Youth Climate Coalition (AYCC),Carlton,Australia,Constituency - Youth,+61 423 831 369,,info@aycc.org.au,Ms. Hillary Eve Montague
Avaaz Foundation,New York,United States of America,Constituency - Environmental CAN,(1-202) 370-1867,(1-202) 584-5045,iain@avaaz.org,Mr. Risalat Khan
Avelife (Ltd.),Singapore,Singapore,Constituency - Youth,(65) 6472-4886,(65) 6776-5278,info@avelife.org,Mr. Jin Quan Mark Cheng
Avenir Climatique (AC),Paris,France,Constituency - Youth,,,lea@avenirclimatique.org,Ms. Léa Cruse
BAIF Development Research Foundation (BAIF),Pune,India,Constituency - Farmers,+912025231661,+912025231662,baif@baif.org.in,Mr. Girish Sohani
Balipara Tract and Frontier Foundation (BTFF),Sonitpur,India,Constituency - Environmental,(91-99) 5483-0436,(91-22) 264-0001,gigi@gmail.com,Ms. Dilpreet Prabir Banerjea
Baltic and International Maritime Council (BIMCO),Bagsvaerd,Denmark,Constituency - Business and Industry,(45-44) 36-6800,(45-44) 36-6868,mailbox@bimco.org,Mr. Michael Lund
Bangladesh Centre for Advanced Studies (BCAS),Dhaka,Bangladesh,Constituency - Research and independent,(880-2) 885-1237 / 1986 / 2217,(880-2) 885-1417,info@bcas.net,Mr. A. Atiq Rahman
Bangladesh Environmental Lawyers Association (BELA),Dhaka,Bangladesh,Constituency - Environmental CAN,(88-02)5861-4283,(88-02)5861-2957,rizwana1968@gmail.com,Ms. Syeda Hasan
Bangladesh Resource Centre for Indigenous Knowledge (BARCIK),Dhaka,Bangladesh,Constituency - ENGO,(880-2) 913-2372 / (880-1552) 38-9857,(880-2) 913-2372,barcik@barcik.org.bd,Mr. Sukanta Kumar Sen
Barcelona Centre for International Affairs (CIDOB),Barcelona,Spain,Constituency - Research and independent,+34933026495,,director@cidob.org,Ms. Clara Creixams
Basel Agency for Sustainable Energy (BASE),Basel,Switzerland,Constituency - Environmental,(41-61)274-0480,(41-61)271-1010,info@energy-base.org,Mr. Daniel Magallon
Basque Centre for Climate Change (BC3),Bilbao,Spain,Constituency - Research and independent,(34) 9-4401-4690,(34) 9-4405-4787,anil.markandya@bc3research.org,Ms. Nerea Ortiz
Battelle Memorial Institute (BMI),College Park,United States of America,Constituency - ENGO,(1-301)314-6766,(1-301)314-6760,dooleyj@battelle.org,Mr. James Dooley
Bay Area Council Foundation,San Francisco,United States of America,Constituency - Business and Industry,(+1) 415-946-8777,(+1) 415-981-6408,acovert@bayareacouncil.org,Mr. Adrian Joseph Covert
BBC Media Action,London,United Kingdom of Great Britain and Northern Ireland,Constituency - Research and independent,+44 208 008 0001,+44 208 008 5970,Lisa.Robinson@bbc.co.uk,Ms. Lisa Robinson
Beijing Emissions Trading Association (BETA),Beijing,0,Constituency - Environmental,+86 10 6629 5588,+86 10 6629 5798,slrao@cbeex.com.cn,Ms. Ling Shu Rao
Beijing Greenovation Hub for Public Welfare Development (G:HUB),Beijing,China,Constituency - Environmental,86 10 8447 7697,,policy@ghub.org,Ms. Hongyu Guo
Beijing NGO Association for International Exchanges,Beijing,China,,+86 10 65221476,+86 10 65221474,beijing_ngo@126.com,Ms. Pu Jin
Belgrade Open School (BOS),Belgrade,Serbia,Constituency - Research and independent,+381 11 36 13 112,+381 11 36 13 112,bos@bos.rs,Mr. Mirko Popović
Bellona Foundation,Oslo,Norway,Constituency - Environmental,(47-23) 23-4600,(47-22) 38-3862,info@bellona.no,Mr. Olav Oye
Beyond War,Portland,United States of America,Constituency - Research and independent,(1-503) 208-7880,,beyondwar@beyondwar.org,Mr. William Lewis Hallmark
BHP Billiton SaskPower Carbon Capture and Storage (CCS) Knowledge Centre Inc. doing business as International CCS Knowledge Centre,Regina,Canada,Constituency - Business and Industry,+1-306-565-5669,+1-306-565-5668,info@ccsknowledege.com,Ms. C. Beth Hardy
Bianca Jagger Human Rights Foundation (BJHRF),London,United Kingdom of Great Britain and Northern Ireland,Constituency - Environmental,(44-207) 931-9331,(44-207) 361-0077,Biancajagger1@gmail.com,Ms. Bianca Jagger
"Bill, Hillary & Chelsea Clinton Foundation (Clinton Foundation)",New York,United States of America,Constituency - Environmental,(1-212) 348-8882,(1-888) 511 1626,jgerstin@clintonfoundation.org,Mr. Jesse Gerstin
