,name,entity_type,TotalMembers,MaleMembers,FemaleMembers,constituency,coordinator,city,country,const
747,Point Blue Conservation Science,Non-governmental organizations,3,2,1,Constituency - Environmental,Mr. Manuel Oliva,Petaluma,United States of America,ENGO
748,Polish Ecological Club,Non-governmental organizations,4,1,3,Constituency - Environmental CJN,Ms. Urszula Stefanowicz,Kraków,Poland,ENGO
749,Pompeu Fabra University,Non-governmental organizations,8,5,3,Constituency - Research and independent,Mr. Jaume Albertí,Barcelona,Spain,RINGO
750,Potsdam Institute for Climate Impact Research,Non-governmental organizations,8,3,5,Constituency - Research and independent,Ms. Annika Günther,Potsdam,Germany,RINGO
751,Practical Action,Non-governmental organizations,7,6,1,Constituency - Environmental CAN,Mr. Colin Ian McQuistan,Rugby,United Kingdom of Great Britain and Northern Ireland,ENGO
752,Prakriti Resources Centre,Non-governmental organizations,6,4,2,Constituency - Environmental,Mr. Raju Pandit Chhetri,Kathmandu,Nepal,ENGO
753,Presbyterian Church (U.S.A.),Non-governmental organizations,5,3,2,Constituency - Environmental CAN,Ms. Rebecca Jane Barnes,Louisville,United States of America,ENGO
754,PRI Association,Non-governmental organizations,6,4,2,Constituency - Business and Industry,Mr. Jack Balsdon,London,United Kingdom of Great Britain and Northern Ireland,BINGO
755,Pro-Natura International,Non-governmental organizations,13,8,5,Constituency - Environmental,Mr. Guy Reinaud,Paris,France,ENGO
756,"Programme for the Endorsement of Forest Certification Schemes, PEFC Council",Non-governmental organizations,3,2,1,Constituency - Environmental,Mr. Thorsten Arndt,Geneva,Switzerland,ENGO
757,Project Developer Forum Ltd.,Non-governmental organizations,14,10,4,Constituency - Business and Industry,Mr. Sven Gunther Kolmetz,London,United Kingdom of Great Britain and Northern Ireland,BINGO
758,"Pronatura Sur, A. C.",Non-governmental organizations,2,1,1,Constituency - Environmental,Mr. Jose Antonio Montero Solano,San Cristobal De Las Casas,Mexico,ENGO
759,ProVeg Deutschland e.V.,Non-governmental organizations,2,1,1,Constituency - Environmental,Mr. Raphael Podselver,Berlin,Germany,ENGO
760,Public Health Institute,Non-governmental organizations,1,0,1,Constituency - Local government and Municipal authorities,Ms. Linda Rudolph,Oakland,United States of America,LGMA
761,Purdue University - Purdue Climate Change Research Center,Non-governmental organizations,3,0,3,Constituency - Research and independent,M. Filley,West Lafayette,United States of America,RINGO
762,PUSH Sweden,Non-governmental organizations,11,2,9,Constituency - Environmental,Mr. Adam Leckius,Stockholm,Sweden,ENGO
763,R20 - Regions of Climate Action,Non-governmental organizations,3,3,0,Constituency - Environmental,Mr. Christophe Nuttall,Geneva,Switzerland,ENGO
764,Rainforest Alliance,Non-governmental organizations,7,1,6,Constituency - Environmental,Mr. Martin Noponen,New York,United States of America,ENGO
765,Rainforest Foundation Norway,Non-governmental organizations,9,3,6,Constituency - Environmental CAN,Ms. Monica Camacho Mejia,Oslo,Norway,ENGO
766,Rainforest Partnership,Non-governmental organizations,9,3,6,Constituency - Environmental,Ms. Niyanta Spelman,Austin,United States of America,ENGO
767,Rare,Non-governmental organizations,4,2,2,Constituency - Environmental,Ms. Arlane Marietta Steins - Meier,Arlington,United States of America,ENGO
768,Real Instituto Elcano,Non-governmental organizations,6,2,4,Constituency - Research and independent,Sra. Lara Esther Lázaro Touza,Madrid (28006),Spain,RINGO
769,Reevaluation Foundation,Non-governmental organizations,19,5,14,Constituency - Environmental,Ms. Diane Shisk,Seattle,United States of America,ENGO
770,Regeneration International,Non-governmental organizations,5,3,2,Constituency - Environmental,Ms. Ercilia Sahores,Finland,United States of America,ENGO
771,Regional Environmental Centre for Central Asia,Non-governmental organizations,3,1,2,Constituency - Environmental,Ms. Irina Bekmirzaeva,Almaty,Kazakhstan,ENGO
772,"Regional Institute of Health, Medicine and Research",Non-governmental organizations,1,1,0,Constituency - Research and independent,Mr. Vijay Sharma,Jaipur,India,RINGO
773,Regions4 for Sustainable Development,Non-governmental organizations,8,1,7,Constituency - Local government and Municipal authorities,Ms. Heloise Chicou,Brussels,Belgium,LGMA
774,Remote Sensing Technology Center of Japan,Non-governmental organizations,4,3,1,Constituency - Research and independent,Mr. Masatoshi Kamei,Tokyo,Japan,RINGO
775,Renewable Energy and Energy Efficiency Partnership,Non-governmental organizations,3,2,1,Constituency - Environmental,Ms. Eszter Winkler,Vienna,Austria,ENGO
776,Renewable Energy Institute,Non-governmental organizations,10,2,8,Constituency - Research and independent,Ms. Mika Ohbayashi,Tokyo,Japan,RINGO
777,Renewables Grid Initiative e.V.,Non-governmental organizations,1,0,1,Constituency - Environmental,Ms. Antonella Battaglini,Berlin,Germany,ENGO
778,Renmin University of China,Non-governmental organizations,6,3,3,Constituency - Research and independent,Mr. Ji Zou,Beijing,China,RINGO
779,REScoop.eu vzw,Non-governmental organizations,3,1,2,Constituency - Business and Industry,Ms. Sara Tachelet,Brussels,Belgium,BINGO
780,"Research and Development Centre, Nepal",Non-governmental organizations,3,3,0,Constituency - Research and independent,Mr. Ramdhyan Prasad Yadav,Kathmandu,Nepal,RINGO
781,Research Center for Eco-Environmental Sciences in Shanxi,Non-governmental organizations,6,0,6,Constituency - Environmental,Mr. Xudong Su,Taiyuan,China,ENGO
782,Research Centre for Sustainable Development,Non-governmental organizations,12,4,8,Constituency - Research and independent,Ms. Francesca Farioli,Rome,Italy,RINGO
783,Research Institute of Innovative Technology for the Earth,Non-governmental organizations,2,1,1,Constituency - Research and independent,Mr. Haruo Kanaboshi,Kyoto,Japan,RINGO
784,Réseau Action Climat - France,Non-governmental organizations,23,9,14,Constituency - Environmental CAN,Ms. Aurore Mathieu,Montreuil,France,ENGO
785,Réseau Français des Etudiants pour le Développement Durable,Non-governmental organizations,19,9,10,Constituency - Youth,Mr. Lucas Paoli,Paris,France,Youth
786,Resource Innovation Group,Non-governmental organizations,8,1,7,Constituency - Environmental CAN,Mr. Robert Errol Doppelt,Eugene,United States of America,ENGO
787,Resources for the Future,Non-governmental organizations,1,1,0,Constituency - ENGO,Ms. Kristin Hayes,Washington,United States of America,ENGO
788,Responding to Climate Change,Non-governmental organizations,6,5,1,Constituency - Business and Industry,Ms. Nicole Serrij,London,United Kingdom of Great Britain and Northern Ireland,BINGO
789,RESPONSE Charitable Trust,Non-governmental organizations,2,1,1,Constituency - Research and independent,Ms. Betsan Martin,Wellington,New Zealand,RINGO
790,"Reusa Misión Planeta, A.C.",Non-governmental organizations,9,5,4,Constituency - Environmental,Mme Isela Indira Salas Juárez,Iztapalapa,Mexico,ENGO
791,"Rights and Resources Institute, Inc.",Non-governmental organizations,2,2,0,Constituency - Environmental,Mr. Joseph Bono,Washington,United States of America,ENGO
792,Rio de Janeiro Environmental Exchange,Non-governmental organizations,2,1,1,Constituency - Environmental,Ms. Roberta Rubim Del Giudice,Rio de Janeiro,Brazil,ENGO
793,Rock Environment and Energy Institute,Non-governmental organizations,5,2,3,Constituency - Research and independent,Mr. Jiaqiao Lin,Beijing,China,RINGO
794,"Rockefeller Brothers Fund, Inc.",Non-governmental organizations,3,1,2,Constituency - Environmental,Mr. Thomas Kruse,New York,United States of America,ENGO
795,"Rockefeller Philanthropy Advisors, Inc.",Non-governmental organizations,5,2,3,Constituency - Research and independent,Ms. Rachel Mary Potter,New York,United States of America,RINGO
796,Rocky Mountain Institute,Non-governmental organizations,7,2,5,Constituency - Environmental,Ms. Denali Rose Hussin,Boulder,United States of America,ENGO
797,Rosa-Luxemburg-Stiftung - Gesellschaftsanalye und politische Bildung e.V.,Non-governmental organizations,12,3,9,Constituency - Research and independent,Mr. Till Bender,Berlin,Germany,RINGO
798,Rural Development Institute,Non-governmental organizations,1,0,1,Constituency - Research and independent,Ms. Ashleigh Nicole Flowers,Seattle,United States of America,RINGO
799,Rural Women Energy Security Ltd/Gte,Non-governmental organizations,4,3,1,Constituency - Women and Gender,Ms. Nafisah Abubakar,Abuja,Nigeria,Women and Gender
800,Sabanci University,Non-governmental organizations,2,2,0,Constituency - Environmental,Mr. Umit Sahin,Istanbul,Turkey,ENGO
801,Saint Francis Xavier University,Non-governmental organizations,1,1,0,Constituency - Research and independent,Ms. Maica Murphy,Antigonish,Canada,RINGO
802,Saint John’s University,Non-governmental organizations,12,8,4,Constituency - Research and independent,Ms. Jean Lavigne,Collegeville,United States of America,RINGO
803,Sasakawa Peace Foundation,Non-governmental organizations,7,3,4,Constituency - Environmental,Ms. Miko Maekawa,Tokyo,Japan,ENGO
804,Sauvons Le Climat,Non-governmental organizations,2,2,0,Constituency - Environmental,Mr. Stephan Savarese,Paris,France,ENGO
805,Science Museum of Minnesota,Non-governmental organizations,1,1,0,Constituency - Research and independent,Mr. Patrick Hamilton,Saint Paul,United States of America,RINGO
806,Scientific Committee on Antarctic Research,Non-governmental organizations,10,8,2,Constituency - Environmental,Ms. Pathikonda Chandrika Nath,Cambridge,United Kingdom of Great Britain and Northern Ireland,ENGO
807,"SDSN Association, Inc.",Non-governmental organizations,6,2,4,Constituency - Research and independent,Ms. Elena Crete,New York,United States of America,RINGO
808,Seas at Risk,Non-governmental organizations,5,2,3,Constituency - Environmental,Mr. John Maggs,Brussels,Belgium,ENGO
809,SeaTrust Institute,Non-governmental organizations,2,0,2,Constituency - Research and independent,Ms. Lynn Wilson,Olympia,United States of America,RINGO
810,Seoul International Law Academy,Non-governmental organizations,2,1,1,Constituency - Research and independent,Mr. Suh Yong Chung,Seoul,Republic of Korea,RINGO
811,Sequoia Foundation,Non-governmental organizations,2,2,0,Constituency - Environmental,Mr. Thomas Kelly,La Jolla,United States of America,ENGO
812,Servicios en Comunicación Intercultural,Non-governmental organizations,2,2,0,Constituency - Research and independent,Sr. Rafael Humberto Ponte Calderon,Lima,Peru,RINGO
813,Shan Shui Conservation Center,Non-governmental organizations,4,1,3,Constituency - Environmental CAN,Ms. Xiangying Shi,Beijing,China,ENGO
814,Shandong Society for Sustainable Development,Non-governmental organizations,1,0,1,Constituency - Environmental,Mr. Wujun Wen,Jinan,China,ENGO
815,Shinji Shumeikai,Non-governmental organizations,3,1,2,Constituency - Environmental,Ms. Kristina Mayo,Koka,Japan,ENGO
816,Sierra Club,Non-governmental organizations,4,3,1,Constituency - Environmental CAN,Mr. John Coequyt,Washington,United States of America,ENGO
817,Sierra Club Canada,Non-governmental organizations,1,0,1,Constituency - Environmental CAN,Ms. Gretchen Fitzgerald,Ottawa,Canada,ENGO
818,"SILVA, Arbres, Forêts et Sociétes",Non-governmental organizations,3,3,0,Constituency - Environmental,Mr. Joseph Francois Racapé,Paris,France,ENGO
819,Sjoham Baabaji Mission,Non-governmental organizations,1,0,1,Constituency - Environmental,Mr. Philip Aartsen,'s-Hertogenbosch,Netherlands,ENGO
820,Slow Food,Non-governmental organizations,1,0,1,Constituency - Environmental,Ms. Anna Kanshieva,Bra (CN),Italy,ENGO
821,Small and Medium Scale Entrepreneurship Fundamentals Foundation,Non-governmental organizations,3,3,0,Constituency - Environmental,Mr. Femi Oye,Lagos,Nigeria,ENGO
822,SNV Netherlands Development Organisation,Non-governmental organizations,6,4,2,Constituency - Environmental,Ms. Janne Maria Teule,The Hague,Netherlands,ENGO
823,SOAS University of London,Non-governmental organizations,5,4,1,Constituency - Research and independent,Mr. James Dunn,London,United Kingdom of Great Britain and Northern Ireland,RINGO
824,Sociedade Pesquisa em Vida Salvagem e Educacao Ambiental,Non-governmental organizations,3,1,2,Constituency - Environmental,Mr. Clovis Ricardo Schrappe Borges,Curitiba,Brazil,ENGO
825,Società Italiana per le Scienze del Clima,Non-governmental organizations,9,5,4,Constituency - Research and independent,Ms. Martina Gambaro,Marghera-Venice,Italy,RINGO
826,Society for Development and Community Empowerment,Non-governmental organizations,6,5,1,Constituency - Youth,Mr. Kayode Adedoye,Port Harcourt,Nigeria,Youth
827,Society for Threatened Peoples International,Non-governmental organizations,1,0,1,Constituency - Indigenous peoples,Mr. Ulrich Delius,Goettingen,Germany,IPO
828,Society of Catholic Medical Missionaries,Non-governmental organizations,3,0,3,Constituency - Research and independent,Ms. Cicilymol Paramundayil,London,United Kingdom of Great Britain and Northern Ireland,RINGO
829,Society of Entrepreneurs and Ecology Foundation,Non-governmental organizations,3,1,2,Constituency - Environmental,Ms. Zhiyao Lu,Beijing,China,ENGO
830,Solar Cookers International,Non-governmental organizations,2,1,1,Constituency - Environmental,Mr. Alan Bigelow,Sacramento,United States of America,ENGO
831,Solar Impulse Foundation,Non-governmental organizations,3,2,1,Constituency - Environmental,Mme Charlotte Campiche,Lausanne,Switzerland,ENGO
832,Solutions From The Land,Non-governmental organizations,4,4,0,Constituency - Farmers,Ms. Shannon Mott,Lutherville,United States of America,Farmers
833,South-South Global Assets and Technology Exchange,Non-governmental organizations,4,3,1,Constituency - Business and Industry,Ms. Xuemei Bai,Shanghai,China,BINGO
834,Southern African Confederation of Agricultural Unions,Non-governmental organizations,2,2,0,Constituency - Farmers,Mr. Ishmael Daniso Sunga,Pretoria,South Africa,Farmers
835,SouthSouthNorth Projects Africa,Non-governmental organizations,5,3,2,Constituency - Environmental,,Cape Town,South Africa,ENGO
836,Stand,Non-governmental organizations,3,2,1,Constituency - Business and Industry,Mr. José Ignacio Alcorta,Vernier,Switzerland,BINGO
837,Stichting Climate Action Network South Asia,Non-governmental organizations,9,4,5,Constituency - Environmental CAN,Mr. Sanjay Vashist,Dhaka,Bangladesh,ENGO
838,Stichting Hivos (Humanistisch Instituut voor Ontwikkelingssamenwerk ing),Non-governmental organizations,5,1,4,Constituency - Environmental CAN,Ms. Merit Maria Hindriks,The Hague,Netherlands,ENGO
839,"Stichting Partnership on Sustainable, Low Carbon Transport (SLoCaT) Foundation",Non-governmental organizations,4,1,3,Constituency - Environmental,Ms. Alice Yiu,Utrecht,Netherlands,ENGO
840,Stichting Wageningen Research,Non-governmental organizations,7,4,3,Constituency - Research and independent,Mr. Tim van Hattum,Wageningen,Netherlands,RINGO
841,Stiftung Mercator Foundation,Non-governmental organizations,1,0,1,Constituency - Environmental,Mr. Lars Grotewold,Essen,Germany,ENGO
842,Stockholm Environment Institute,Non-governmental organizations,8,4,4,Constituency - Research and independent,Ms. Cleo Verkuijl,Stockholm,Sweden,RINGO
843,Stockholm International Water Institute,Non-governmental organizations,8,7,1,Constituency - Research and independent,Ms. Kristina Gunilla Johansson,Stockholm,Sweden,RINGO
844,Stockholm University,Non-governmental organizations,11,5,6,Constituency - Research and independent,Ms. Naghmeh Nasiritousi,Stockholm,Sweden,RINGO
845,Stop Climate Chaos Scotland,Non-governmental organizations,4,2,2,Constituency - Environmental,Ms. Gail Wilson,Edinburgh,United Kingdom of Great Britain and Northern Ireland,ENGO
846,Student Energy,Non-governmental organizations,4,1,3,Constituency - Youth,Ms. Meredith Adler,Calgary,Canada,Youth
847,Sustainable Amazonas Foundation,Non-governmental organizations,4,3,1,Constituency - Environmental,Ms. Gabriela Passos Sampaio,Manaus,Brazil,ENGO
848,Sustainable Business Australia,Non-governmental organizations,4,3,1,Constituency - Business and Industry,Mr. Andrew Petersen,Sydney,Australia,BINGO
849,Sustainable Energy for All Association for sustainable Energy,Non-governmental organizations,4,2,2,Constituency - Environmental,Ms. Tracey Crowe,Vienna,Austria,ENGO
850,Sustainable Environmental Development Watch,Non-governmental organizations,3,2,1,Constituency - Environmental CAN,Mr. Frank Msafiri Kairura,Nairobi,Kenya,ENGO
851,Sustainable Harvest International,Non-governmental organizations,2,1,1,Constituency - Farmers,Mr. Elliott Jackson Powell,Ellsworth,United States of America,Farmers
852,Sustainable Markets Foundation - 350.org,Non-governmental organizations,34,18,16,Constituency - Environmental CJN,Ms. Cansin Leylim Ilgaz,Brooklyn,United States of America,ENGO
853,Sustainable Population Australia Inc.,Non-governmental organizations,8,6,2,Constituency - Environmental CAN,Ms. Jane O'Sullivan,Weston Creek,Australia,ENGO
854,SustainableEnergy,Non-governmental organizations,1,1,0,Constituency - Environmental,Ms. Maria Graversen,Aarhus,Denmark,ENGO
855,SustainUS,Non-governmental organizations,6,2,4,Constituency - Youth,Ms. Karina Belen Gonsalez,Grandville,United States of America,Youth
856,Swarthmore College,Non-governmental organizations,11,6,5,Constituency - Research and independent,Ms. Catherine Burnett,Swarthmore,United States of America,RINGO
857,Swedish Society for Nature Conservation,Non-governmental organizations,5,2,3,Constituency - Environmental CAN,Ms. Kristina Östman,Stockholm,Sweden,ENGO
858,Swedish University of Agricultural Sciences,Non-governmental organizations,3,2,1,Constituency - Research and independent,Mr. Johan Anders Stendahl,Uppsala,Sweden,RINGO
859,Swiss Business Council for Sustainable Development,Non-governmental organizations,3,3,0,Constituency - Business and Industry,Mr. Olmar Albers,Zürich,Switzerland,BINGO
860,Swisscontact,Non-governmental organizations,1,1,0,Constituency - Research and independent,Mr. Jon Bickel,Zurich,Switzerland,RINGO
861,Taiwan Carbon Capture Storage and Utilization Association,Non-governmental organizations,8,7,1,Constituency - Environmental,Mr. Joey Lu,"Taipei ,Taiwan",China,ENGO
862,Taiwan Institute for Sustainable Energy,Non-governmental organizations,15,5,10,Constituency - Business and Industry,Mr. Eugene Chien,Taipei,China,BINGO
863,Taiwan Research Institute,Non-governmental organizations,12,9,3,Constituency - Research and independent,Mr. Cheng-Hung Liu,New Taipei,China,RINGO
864,TakingITGlobal,Non-governmental organizations,15,6,9,Constituency - Environmental,Mr. Liam O'Doherty,Toronto,Canada,ENGO
865,Tamaynut,Non-governmental organizations,2,2,0,Constituency - Indigenous peoples,Mr. El Mastouri Hicham,Inezgan,Morocco,IPO
866,TaxCOOP,Non-governmental organizations,2,0,2,Constituency - Business and Industry2,Mme Isabelle De Gryse,Montréal,Canada,BINGO
867,Tearfund,Non-governmental organizations,10,5,5,Constituency - Environmental CAN,Ms. Sarah Elizabeth Wiggins,Teddington,United Kingdom of Great Britain and Northern Ireland,ENGO
868,Tebtebba Foundation,Non-governmental organizations,4,1,3,Constituency - Indigenous peoples,Mr. Raymond de Chavez,Baguio City,Philippines,IPO
869,Technical University of Denmark,Non-governmental organizations,8,4,4,Constituency - Research and independent,Ms. Susanne Pedersen,Kgs. Lyngby,Denmark,RINGO
870,Technology Education Research and Rehabilitation for Environment Policy Centre,Non-governmental organizations,1,1,0,Constituency - Environmental,Mme Vinita Apte,Pune,India,ENGO
871,Telecommunication and Transportation Foundation,Non-governmental organizations,2,2,0,Constituency - Business and Industry,Mr. You-Hsin Eugene Chien,New Taipei,China,BINGO
872,Texas Impact Education Fund doing business as the Texas Interfaith Center for Public Policy,Non-governmental organizations,7,1,6,Constituency - Local government and Municipal authorities,Mr. Imaad Khan,Austin,United States of America,LGMA
873,The Australia Institute Ltd.,Non-governmental organizations,1,1,0,Constituency - Research and independent,Mr. Clive Hamilton,Manuka,Australia,RINGO
874,"The B Team Headquarters, Inc.",Non-governmental organizations,2,0,2,Constituency - Business and Industry,Ms. Leah Seligmann,New York,United States of America,BINGO
875,The Carbon Institute,Non-governmental organizations,11,7,4,Constituency - Environmental CAN,Mr. John Oliver Niles,San Diego,United States of America,ENGO
876,The Carbon Trust,Non-governmental organizations,5,4,1,Constituency - ENGO,Mr. Simon Retallack,London,United Kingdom of Great Britain and Northern Ireland,ENGO
877,The Catholic Agency for Overseas Development,Non-governmental organizations,3,3,0,Constituency - Environmental,Ms. Amy Gander,London,United Kingdom of Great Britain and Northern Ireland,ENGO
878,The Climate Group,Non-governmental organizations,12,2,10,Constituency - Business and Industry,Ms. Tereza Kamenicka,London,United Kingdom of Great Britain and Northern Ireland,BINGO
879,The Climate Reality Project,Non-governmental organizations,8,7,1,Constituency - Environmental CAN,Mr. Ethan Spaner,Washington,United States of America,ENGO
880,The Climate Registry,Non-governmental organizations,10,4,6,Constituency - Environmental,Ms. Amy Elizabeth Holm,Los Angeles,United States of America,ENGO
881,The Corner House,Non-governmental organizations,2,1,1,Constituency - Environmental,Mr. Larry Lohmann,Dorset,United Kingdom of Great Britain and Northern Ireland,ENGO
882,The Danish Family Planning Association,Non-governmental organizations,2,0,2,Constituency - Women and Gender,Ms. Ida Baagoe Klockmann,København S,Denmark,Women and Gender
883,The Energy and Resources Institute,Non-governmental organizations,6,3,3,Constituency - Research and independent,Ms. Suruchi Bhadwal,New Delhi,India,RINGO
884,The Fairtrade Foundation,Non-governmental organizations,1,1,0,Constituency - Research and independent,Mr. Timothy Aldred,London,United Kingdom of Great Britain and Northern Ireland,RINGO
885,The Federation for Associations Connected to the International HUMANA PEOPLE TO PEOPLE Movement,Non-governmental organizations,7,2,5,Constituency - Environmental,Mr. David Kerkhofs,Geneva,Switzerland,ENGO
886,The Gaia Foundation,Non-governmental organizations,2,1,1,Constituency - Environmental CJN,Ms. Fiona Karen Wilton,London,United Kingdom of Great Britain and Northern Ireland,ENGO
887,The Gold Standard Foundation,Non-governmental organizations,8,4,4,Constituency - Research and independent,Ms. Sarah Leugers,Geneva,Switzerland,RINGO
888,The Green Initiative,Non-governmental organizations,3,3,0,Constituency - Environmental,Mr. Lucas Carvalho Pereira,São Paolo,Brazil,ENGO
889,The Institute of Environmental Management and Assessment,Non-governmental organizations,5,4,1,Constituency - Environmental,Mr. Nicholas J Blyth,Lincoln,United Kingdom of Great Britain and Northern Ireland,ENGO
890,The Interfaith Center for Sustainable Development,Non-governmental organizations,8,4,4,Constituency - Environmental,Mr. Yonatan Neril,Jerusalem,Israel,ENGO
891,The Japan Gas Association,Non-governmental organizations,3,3,0,Constituency - Business and Industry,Mr. Fujio Mori,Tokyo,Japan,BINGO
892,The Kenya Climate Change Working Group Association,Non-governmental organizations,2,1,1,Constituency - Environmental CAN,Mr. Obed Omete Koringo,Nairobi,Kenya,ENGO
893,"The Mountain Institute, Inc.",Non-governmental organizations,4,0,4,Constituency - Environmental,Mr. Jorge Recharte Bullard,Washington DC,United States of America,ENGO
894,The National Farmers Union,Non-governmental organizations,5,3,2,Constituency - Farmers,Ms. Nancy Fuller,Kenilworth,United Kingdom of Great Britain and Northern Ireland,Farmers
895,The Nature Conservancy,Non-governmental organizations,23,8,15,Constituency - Environmental CAN,Mr. John Dennis Verdieck,Arlington,United States of America,ENGO
896,The Ocean Foundation,Non-governmental organizations,3,2,1,Constituency - Environmental,Mr. Mark Spalding,Washington,United States of America,ENGO
897,The Rockefeller Foundation,Non-governmental organizations,2,1,1,Constituency - Research and independent,Ms. Elizabeth Yee,New York,United States of America,RINGO
898,The Rockies Institute Ltd,Non-governmental organizations,2,0,2,Constituency - Research and independent,Ms. Laura Shay Lynes,Canmore,Canada,RINGO
899,The Stanley Foundation,Non-governmental organizations,3,2,1,Constituency - Research and independent,Mr. Huan-Rei Ulysses Tang,Muscatine,United States of America,RINGO
900,The University of Arizona,Non-governmental organizations,6,4,2,Constituency - Research and independent,Ms. Diana Liverman,Tucson,United States of America,RINGO
901,The University of British Columbia,Non-governmental organizations,2,1,1,Constituency - Research and independent,Ms. Emily MacDougall,Vancouver,Canada,RINGO
902,The University of Manchester,Non-governmental organizations,3,3,0,Constituency - Research and independent,Ms. Amrita Sidhu,Manchester,United Kingdom of Great Britain and Northern Ireland,RINGO
903,The University of Sheffield,Non-governmental organizations,9,3,6,Constituency - Research and independent,Mr. Mark Andrew Sinclair,Sheffield,United Kingdom of Great Britain and Northern Ireland,RINGO
904,The V.I. Vernadsky Nongovernmental Ecological Foundation,Non-governmental organizations,3,1,2,Constituency - Environmental,Mr. Andrey Cheshev,Moscow,Russian Federation,ENGO
905,The Woods Hole Research Center,Non-governmental organizations,6,2,4,Constituency - Environmental CAN,Ms. Eunice Youmans,Falmouth,United States of America,ENGO
906,Third Generation Environmentalism,Non-governmental organizations,3,1,2,Constituency - Environmental CAN,Ms. Camilla Born,London,United Kingdom of Great Britain and Northern Ireland,ENGO
907,Third World Network,Non-governmental organizations,9,2,7,Constituency - Environmental CJN,Ms. Yoke Ling Chee,Penang,Malaysia,ENGO
908,Tianda Institute,Non-governmental organizations,12,6,6,Constituency - Research and independent,Ms. Dongmei Jiang,Hong Kong,China,RINGO
909,Transparency International,Non-governmental organizations,10,6,4,Constituency - Research and independent,Mr. Brice Antoine Boehmer,Berlin,Germany,RINGO
910,Transport Research Foundation,Non-governmental organizations,3,1,2,Constituency - Research and independent,Mr. Georgios Voukas,Berkshire,United Kingdom of Great Britain and Northern Ireland,RINGO
911,Trustees of the University of Pennsylvania,Non-governmental organizations,8,4,4,Constituency - Research and independent,Mr. Mark Alan Hughes,Philadelphia,United States of America,RINGO
912,Trustees of Tufts College,Non-governmental organizations,12,3,9,Constituency - Research and independent,Ms. Nitsan Shakked,Somerville,United States of America,RINGO
913,"Tsinghua University, Global Climate Change Institute",Non-governmental organizations,6,3,3,Constituency - Business and Industry,Mr. Xiliang Zhang,Beijing,China,BINGO
914,Turkish Industry and Business Association,Non-governmental organizations,4,1,3,Constituency - Business and Industry,Ms. Nursen Numanoglu,Istanbul,Turkey,BINGO
915,U.S. Climate Action Network,Non-governmental organizations,14,4,10,Constituency - Environmental CAN,Ms. Carrie Clayton,Washington,United States of America,ENGO
916,UNEP - Finance Initiative,Non-governmental organizations,5,4,1,Constituency - ENGO,Mr. Kai-Remco Fischer,Geneva,Switzerland,ENGO
917,UNICA - Brazilian Sugarcane Industry Association,Non-governmental organizations,2,0,2,Constituency - Business and Industry,Mr. Eduardo Luis Leão de Sousa,Sao Paulo,Brazil,BINGO
918,Unidad Nacional de Asociaciones de Ingenieros A.C.,Non-governmental organizations,1,1,0,Constituency - Business and Industry,Sr. Omar Guadarrama Cedillo,,Mexico,BINGO
919,Unión de Industriales para Saneamiento Cuencas Matanza Riachuelo y Reconquista,Non-governmental organizations,5,3,2,Constituency - Business and Industry,Mr. Mariano Villares,Buenos Aires,Argentina,BINGO
920,Union of Concerned Scientists,Non-governmental organizations,6,3,3,Constituency - Environmental CAN,Ms. Rachel Cleetus,Cambridge,United States of America,ENGO
921,Union of the Electricity Industry,Non-governmental organizations,4,1,3,Constituency - Business and Industry,Mr. Henning Häder,Brussels,Belgium,BINGO
922,Unitarian Universalist Association,Non-governmental organizations,4,1,3,Constituency - Research and independent,Mr. Bruce Knotts,New York,United States of America,RINGO
923,United Church of Canada,Non-governmental organizations,3,1,2,Constituency - Environmental CAN,Ms. Lorraine Yvette Neale,Etobicoke,Canada,ENGO
924,United Kingdom Youth Climate Coalition Limited,Non-governmental organizations,7,3,4,Constituency - Youth,Ms. Sarah Dobson,Forest Row,United Kingdom of Great Britain and Northern Ireland,Youth
925,United Methodist Church - General Board of Church and Society,Non-governmental organizations,4,3,1,Constituency - ENGO,Mr. Liberato Bautista,New York,United States of America,ENGO
926,United Mine Workers of America,Non-governmental organizations,3,1,2,Constituency - Trade Unions,Mr. Eugene Marc Trisko,Triangle,United States of America,TUNGO
927,United Nations Foundation,Non-governmental organizations,7,3,4,Constituency - Environmental,Mr. Ryan Hobert,Washington,United States of America,ENGO
928,United Nations of Youth Network,Non-governmental organizations,3,2,1,Constituency - Youth,Mr. Goodluck Odimegwu Obi,Lagos,Nigeria,Youth
929,United States Council for International Business,Non-governmental organizations,1,0,1,Constituency - Business and Industry,Ms. Norine Kennedy,New York,United States of America,BINGO
930,Universidad de Barcelona,Non-governmental organizations,1,0,1,Constituency - Research and independent,Ms. Maria del Mar Campins Eritja,Barcelona,Spain,RINGO
931,Universidad de las Islas Baleares,Non-governmental organizations,1,1,0,Constituency - Research and independent,Mr. Pau de Vilchez Moragues,Palma,Spain,RINGO
932,Universidad Politécnica de Cataluña,Non-governmental organizations,11,6,5,Constituency - Research and independent,Ms. Olga Alcaraz Sendra,Barcelona,Spain,RINGO
933,Université Cadi Ayyad de Marrakech,Non-governmental organizations,1,0,1,Constituency - Research and independent,Mme Fatima Arib,Marrakech,Morocco,RINGO
934,Université de Brest,Non-governmental organizations,2,0,2,Constituency - Research and independent,M. Yves-Marie Paulet,Brest,France,RINGO
